release,class_name,size,LOC_touched,NR,NAuth,LOC_added,MAX_LOC_added,AVG_LOC_added,churn,MAX_churn,buggy
5,java/jmx/com/yahoo/zookeeper/server/ObservableNIOServerCnxn.java,49,352,6,2,332,83,55,332,83,no
5,java/jmx/com/yahoo/zookeeper/server/ObservableZooKeeperServer.java,21,214,6,2,200,50,33,200,50,no
5,java/jmx/com/yahoo/zookeeper/server/ZooKeeperObserverNotifier.java,33,316,6,2,296,74,49,296,74,no
5,java/jmx/com/yahoo/zookeeper/server/quorum/ManagedQuorumPeer.java,168,1032,6,2,972,243,162,972,243,no
5,java/jmx/com/yahoo/zookeeper/server/quorum/ObservableFollower.java,46,324,6,2,304,76,50,304,76,no
5,java/jmx/com/yahoo/zookeeper/server/quorum/ObservableFollowerZooKeeperServer.java,22,232,6,2,212,53,35,212,53,no
5,java/jmx/com/yahoo/zookeeper/server/quorum/ObservableLeader.java,48,340,6,2,320,80,53,320,80,no
5,java/jmx/com/yahoo/zookeeper/server/quorum/ObservableLeaderZooKeeperServer.java,22,232,6,2,212,53,35,212,53,no
5,java/jmx/com/yahoo/zookeeper/server/quorum/ObservableQuorumPeer.java,66,454,6,2,428,107,71,428,107,no
5,java/jmx/com/yahoo/zookeeper/server/util/ConnectionObserver.java,6,160,6,2,144,36,24,144,36,no
5,java/jmx/com/yahoo/zookeeper/server/util/DataTreeObserver.java,9,222,6,2,204,51,34,204,51,no
5,java/jmx/com/yahoo/zookeeper/server/util/EventInfo.java,4,126,6,2,112,28,18,112,28,no
5,java/jmx/com/yahoo/zookeeper/server/util/ObservableComponent.java,4,142,6,2,128,32,21,128,32,no
5,java/jmx/com/yahoo/zookeeper/server/util/ObserverManager.java,49,386,6,2,372,93,62,372,93,no
5,java/jmx/com/yahoo/zookeeper/server/util/QuorumPeerObserver.java,13,288,6,2,268,67,44,268,67,no
5,java/jmx/com/yahoo/zookeeper/server/util/ServerObserver.java,6,160,6,2,144,36,24,144,36,no
5,java/jmx/com/yahoo/zookeeper/server/util/ZooKeeperObserverManager.java,29,258,6,2,236,59,39,236,59,no
5,java/src/com/yahoo/jute/BinaryInputArchive.java,87,662,7,3,660,132,94,660,132,no
5,java/src/com/yahoo/jute/BinaryOutputArchive.java,98,747,7,4,745,149,106,745,149,no
5,java/src/com/yahoo/jute/CsvInputArchive.java,161,1052,7,3,1050,210,150,1050,210,no
5,java/src/com/yahoo/jute/CsvOutputArchive.java,103,742,7,4,740,148,105,740,148,no
5,java/src/com/yahoo/jute/Index.java,5,197,7,3,195,39,27,195,39,no
5,java/src/com/yahoo/jute/InputArchive.java,20,227,7,3,225,45,32,225,45,no
5,java/src/com/yahoo/jute/OutputArchive.java,22,242,7,4,240,48,34,240,48,no
