"dataset","#Training Release","%Training","%Defective in Training","%Defective in Testing","Classifier","Balancing","Feature Selection","Cost Sensitivity","TP","FP","TN","FN","precision","recall","AUC","kappa"
"bookkeeper","8","0.22324592","0.19444445","0.16173121","Random Forest","no","yes","yes","0.0","1.0","367.0","71.0","0.0","0.0","0.857566595223515","-0.0045128074747341675"
"bookkeeper","8","0.22324592","0.19444445","0.16173121","Naive Bayes","no","yes","yes","15.0","4.0","364.0","56.0","0.7894736842105263","0.2112676056338028","0.8425252602571953","0.28447245463435855"
"bookkeeper","8","0.22324592","0.19444445","0.16173121","IBk","no","yes","yes","24.0","29.0","339.0","47.0","0.4528301886792453","0.3380281690140845","0.7572144825474587","0.28876572159454245"
"bookkeeper","9","0.2621368","0.18959108","0.29613733","Random Forest","no","no","no","40.0","34.0","130.0","29.0","0.5405405405405406","0.5797101449275363","0.7615323435843054","0.3647379581944865"
"bookkeeper","9","0.2621368","0.18959108","0.29613733","Naive Bayes","no","no","no","53.0","58.0","106.0","16.0","0.4774774774774775","0.7681159420289855","0.7986921173559561","0.35234016978438887"
"bookkeeper","9","0.2621368","0.18959108","0.29613733","IBk","no","no","no","32.0","47.0","117.0","37.0","0.4050632911392405","0.463768115942029","0.6355602686461648","0.17004494953778324"
"bookkeeper","9","0.2621368","0.18959108","0.29613733","Random Forest","no","yes","no","43.0","37.0","127.0","26.0","0.5375","0.6231884057971014","0.7727553905973842","0.3800312539595388"
"bookkeeper","9","0.2621368","0.18959108","0.29613733","Naive Bayes","no","yes","no","53.0","64.0","100.0","16.0","0.452991452991453","0.7681159420289855","0.7794273594909862","0.3145042659605765"
"bookkeeper","9","0.2621368","0.18959108","0.29613733","IBk","no","yes","no","35.0","43.0","121.0","34.0","0.44871794871794873","0.5072463768115942","0.666401555319901","0.23613062545237778"
"bookkeeper","9","0.2621368","0.18959108","0.29613733","Random Forest","no","no","yes","1.0","2.0","162.0","68.0","0.3333333333333333","0.014492753623188406","0.7864528101802757","0.0031780955873367714"
"bookkeeper","9","0.2621368","0.18959108","0.29613733","Naive Bayes","no","no","yes","44.0","36.0","128.0","25.0","0.55","0.6376811594202898","0.7986921173559561","0.3997128014528869"
"bookkeeper","9","0.2621368","0.18959108","0.29613733","IBk","no","no","yes","32.0","47.0","117.0","37.0","0.4050632911392405","0.463768115942029","0.6355602686461648","0.17004494953778324"
"bookkeeper","9","0.2621368","0.18959108","0.29613733","Random Forest","no","yes","yes","2.0","0.0","164.0","67.0","1.0","0.028985507246376812","0.8081477553905974","0.04032704247863745"
"bookkeeper","9","0.2621368","0.18959108","0.29613733","Naive Bayes","no","yes","yes","49.0","46.0","118.0","20.0","0.5157894736842106","0.7101449275362319","0.7794273594909862","0.38737949167397023"
"bookkeeper","9","0.2621368","0.18959108","0.29613733","IBk","no","yes","yes","35.0","43.0","121.0","34.0","0.44871794871794873","0.5072463768115942","0.666445740544362","0.23613062545237778"
"bookkeeper","10","0.28277817","0.19736843","0.17133956","Random Forest","no","no","no","11.0","33.0","233.0","44.0","0.25","0.2","0.7269651401230348","0.08248264597794996"
"bookkeeper","10","0.28277817","0.19736843","0.17133956","Naive Bayes","no","no","no","28.0","29.0","237.0","27.0","0.49122807017543857","0.509090909090909","0.8371838687628161","0.3943804325854051"
"bookkeeper","10","0.28277817","0.19736843","0.17133956","IBk","no","no","no","26.0","56.0","210.0","29.0","0.3170731707317073","0.4727272727272727","0.6821257689678742","0.21946963412192122"
"bookkeeper","10","0.28277817","0.19736843","0.17133956","Random Forest","no","yes","no","13.0","39.0","227.0","42.0","0.25","0.23636363636363636","0.742036910457963","0.09173158207286813"
"bookkeeper","10","0.28277817","0.19736843","0.17133956","Naive Bayes","no","yes","no","32.0","39.0","227.0","23.0","0.4507042253521127","0.5818181818181818","0.8382091592617908","0.3901826204191689"
"bookkeeper","10","0.28277817","0.19736843","0.17133956","IBk","no","yes","no","26.0","57.0","209.0","29.0","0.3132530120481928","0.4727272727272727","0.6802118933697882","0.2150250227479527"
"bookkeeper","10","0.28277817","0.19736843","0.17133956","Random Forest","no","no","yes","1.0","2.0","264.0","54.0","0.3333333333333333","0.01818181818181818","0.7567327409432673","0.017060367454067898"
"bookkeeper","10","0.28277817","0.19736843","0.17133956","Naive Bayes","no","no","yes","26.0","27.0","239.0","29.0","0.49056603773584906","0.4727272727272727","0.8371838687628161","0.3766558013731881"
"bookkeeper","10","0.28277817","0.19736843","0.17133956","IBk","no","no","yes","26.0","54.0","212.0","29.0","0.325","0.4727272727272727","0.6821257689678742","0.2285217894889242"
"bookkeeper","10","0.28277817","0.19736843","0.17133956","Random Forest","no","yes","yes","1.0","0.0","266.0","54.0","1.0","0.01818181818181818","0.7860218728639782","0.029777230493675227"
"bookkeeper","10","0.28277817","0.19736843","0.17133956","Naive Bayes","no","yes","yes","26.0","27.0","239.0","29.0","0.49056603773584906","0.4727272727272727","0.8382091592617908","0.3766558013731881"
"bookkeeper","10","0.28277817","0.19736843","0.17133956","IBk","no","yes","yes","26.0","55.0","211.0","29.0","0.32098765432098764","0.4727272727272727","0.6802118933697882","0.22396822655845275"
