"dataset","#Training Release","%Training","%Defective in Training","%Defective in Testing","Classifier","Balancing","Feature Selection","Cost Sensitivity","TP","FP","TN","FN","precision","recall","AUC","kappa"
"zookeeper","6","0.06232207","0.072492555","0.041666668","Naive Bayes","No","no","yes","1.0","0.0","161.0","6.0","1.0","0.14285714285714285","0.7395740905057675","0.24210526315789596"
"zookeeper","6","0.06232207","0.072492555","0.041666668","IBk","No","no","yes","4.0","1.0","160.0","3.0","0.8","0.5714285714285714","0.8504880212954747","0.6546762589928052"
"zookeeper","6","0.06232207","0.072492555","0.041666668","Random Forest","No","yes","yes","2.0","0.0","161.0","5.0","1.0","0.2857142857142857","0.8216503992901508","0.4339622641509437"
"zookeeper","6","0.06232207","0.072492555","0.041666668","Naive Bayes","No","yes","yes","1.0","1.0","160.0","6.0","0.5","0.14285714285714285","0.7395740905057675","0.20754716981132199"
"zookeeper","6","0.06232207","0.072492555","0.041666668","IBk","No","yes","yes","4.0","0.0","161.0","3.0","1.0","0.5714285714285714","0.8518189884649512","0.7187499999999992"
"zookeeper","7","0.072719395","0.068085104","0.029761905","Random Forest","No","no","no","3.0","3.0","160.0","2.0","0.5","0.6","0.9717791411042945","0.5302013422818793"
"zookeeper","7","0.072719395","0.068085104","0.029761905","Naive Bayes","No","no","no","2.0","36.0","127.0","3.0","0.05263157894736842","0.4","0.6319018404907976","0.04266510812390451"
"zookeeper","7","0.072719395","0.068085104","0.029761905","IBk","No","no","no","1.0","6.0","157.0","4.0","0.14285714285714285","0.2","0.7411042944785277","0.13669064748201395"
"zookeeper","7","0.072719395","0.068085104","0.029761905","Random Forest","No","yes","no","4.0","3.0","160.0","1.0","0.5714285714285714","0.8","0.9938650306748467","0.6546762589928052"
"zookeeper","7","0.072719395","0.068085104","0.029761905","Naive Bayes","No","yes","no","1.0","8.0","155.0","4.0","0.1111111111111111","0.2","0.7987730061349694","0.10875331564986761"
"zookeeper","7","0.072719395","0.068085104","0.029761905","IBk","No","yes","no","4.0","3.0","160.0","1.0","0.5714285714285714","0.8","0.8895705521472392","0.6546762589928052"
"zookeeper","7","0.072719395","0.068085104","0.029761905","Random Forest","No","no","yes","0.0","0.0","163.0","5.0","NaN","0.0","0.9969325153374233","0.0"
"zookeeper","7","0.072719395","0.068085104","0.029761905","Naive Bayes","No","no","yes","2.0","33.0","130.0","3.0","0.05714285714285714","0.4","0.6319018404907976","0.05054945054945038"
"zookeeper","7","0.072719395","0.068085104","0.029761905","IBk","No","no","yes","1.0","6.0","157.0","4.0","0.14285714285714285","0.2","0.7411042944785277","0.13669064748201395"
"zookeeper","7","0.072719395","0.068085104","0.029761905","Random Forest","No","yes","yes","1.0","0.0","163.0","4.0","1.0","0.2","1.0","0.32665330661322484"
"zookeeper","7","0.072719395","0.068085104","0.029761905","Naive Bayes","No","yes","yes","0.0","4.0","159.0","5.0","0.0","0.0","0.7987730061349694","-0.027173913043478458"
"zookeeper","7","0.072719395","0.068085104","0.029761905","IBk","No","yes","yes","4.0","3.0","160.0","1.0","0.5714285714285714","0.8","0.8895705521472392","0.6546762589928052"
"zookeeper","8","0.083116725","0.06329114","0.12565444","Random Forest","No","no","no","5.0","2.0","165.0","19.0","0.7142857142857143","0.20833333333333334","0.7431387225548902","0.28182632050134343"
"zookeeper","8","0.083116725","0.06329114","0.12565444","Naive Bayes","No","no","no","13.0","23.0","144.0","11.0","0.3611111111111111","0.5416666666666666","0.7997754491017964","0.3327168105219893"
"zookeeper","8","0.083116725","0.06329114","0.12565444","IBk","No","no","no","5.0","2.0","165.0","19.0","0.7142857142857143","0.20833333333333334","0.7606037924151696","0.28182632050134343"
"zookeeper","8","0.083116725","0.06329114","0.12565444","Random Forest","No","yes","no","4.0","3.0","164.0","20.0","0.5714285714285714","0.16666666666666666","0.7403942115768463","0.21342882721575696"
"zookeeper","8","0.083116725","0.06329114","0.12565444","Naive Bayes","No","yes","no","6.0","5.0","162.0","18.0","0.5454545454545454","0.25","0.7997754491017964","0.2865031671268478"
"zookeeper","8","0.083116725","0.06329114","0.12565444","IBk","No","yes","no","5.0","3.0","164.0","19.0","0.625","0.20833333333333334","0.7471307385229541","0.26641061452513953"
"zookeeper","8","0.083116725","0.06329114","0.12565444","Random Forest","No","no","yes","0.0","0.0","167.0","24.0","NaN","0.0","0.7349051896207585","0.0"
"zookeeper","8","0.083116725","0.06329114","0.12565444","Naive Bayes","No","no","yes","7.0","6.0","161.0","17.0","0.5384615384615384","0.2916666666666667","0.7997754491017964","0.3181747633090178"
"zookeeper","8","0.083116725","0.06329114","0.12565444","IBk","No","no","yes","5.0","2.0","165.0","19.0","0.7142857142857143","0.20833333333333334","0.7591067864271457","0.28182632050134343"
"zookeeper","8","0.083116725","0.06329114","0.12565444","Random Forest","No","yes","yes","1.0","1.0","166.0","23.0","0.5","0.041666666666666664","0.7462574850299402","0.05872689938398349"
"zookeeper","8","0.083116725","0.06329114","0.12565444","Naive Bayes","No","yes","yes","1.0","3.0","164.0","23.0","0.25","0.041666666666666664","0.7997754491017964","0.0368502715283163"
"zookeeper","8","0.083116725","0.06329114","0.12565444","IBk","No","yes","yes","5.0","3.0","164.0","19.0","0.625","0.20833333333333334","0.7471307385229541","0.26641061452513953"
"zookeeper","9","0.094937496","0.07105606","0.02617801","Random Forest","No","no","no","3.0","6.0","180.0","2.0","0.3333333333333333","0.6","0.9623655913978495","0.40866873065015374"
"zookeeper","9","0.094937496","0.07105606","0.02617801","Naive Bayes","No","no","no","1.0","42.0","144.0","4.0","0.023255813953488372","0.2","0.47634408602150535","-0.005493247882810756"
"zookeeper","9","0.094937496","0.07105606","0.02617801","IBk","No","no","no","3.0","9.0","177.0","2.0","0.25","0.6","0.8612903225806452","0.32811000959385994"
"zookeeper","9","0.094937496","0.07105606","0.02617801","Random Forest","No","yes","no","5.0","14.0","172.0","0.0","0.2631578947368421","1.0","0.975268817204301","0.3914428766499778"
"zookeeper","9","0.094937496","0.07105606","0.02617801","Naive Bayes","No","yes","no","1.0","11.0","175.0","4.0","0.08333333333333333","0.2","0.8134408602150538","0.08378637671889971"
"zookeeper","9","0.094937496","0.07105606","0.02617801","IBk","No","yes","no","5.0","14.0","172.0","0.0","0.2631578947368421","1.0","0.9698924731182795","0.3914428766499778"
"zookeeper","9","0.094937496","0.07105606","0.02617801","Random Forest","No","no","yes","0.0","0.0","186.0","5.0","NaN","0.0","0.9666666666666667","0.0"
"zookeeper","9","0.094937496","0.07105606","0.02617801","Naive Bayes","No","no","yes","1.0","9.0","177.0","4.0","0.1","0.2","0.47634408602150535","0.10198915009041531"
"zookeeper","9","0.094937496","0.07105606","0.02617801","IBk","No","no","yes","3.0","9.0","177.0","2.0","0.25","0.6","0.8612903225806452","0.32811000959385994"
"zookeeper","9","0.094937496","0.07105606","0.02617801","Random Forest","No","yes","yes","0.0","1.0","185.0","5.0","0.0","0.0","0.9688172043010753","-0.008802816901409712"
"zookeeper","9","0.094937496","0.07105606","0.02617801","Naive Bayes","No","yes","yes","0.0","6.0","180.0","5.0","0.0","0.0","0.8134408602150538","-0.029397354238118813"
"zookeeper","9","0.094937496","0.07105606","0.02617801","IBk","No","yes","yes","5.0","14.0","172.0","0.0","0.2631578947368421","1.0","0.9698924731182795","0.3914428766499778"
"zookeeper","10","0.10675826","0.066086955","0.16230367","Random Forest","No","no","no","9.0","3.0","157.0","22.0","0.75","0.2903225806451613","0.7455645161290323","0.36069085553621655"
"zookeeper","10","0.10675826","0.066086955","0.16230367","Naive Bayes","No","no","no","12.0","4.0","156.0","19.0","0.75","0.3870967741935484","0.8637096774193549","0.4498434564809019"
"zookeeper","10","0.10675826","0.066086955","0.16230367","IBk","No","no","no","9.0","2.0","158.0","22.0","0.8181818181818182","0.2903225806451613","0.8098790322580646","0.37547683923705727"
"zookeeper","10","0.10675826","0.066086955","0.16230367","Random Forest","No","yes","no","6.0","1.0","159.0","25.0","0.8571428571428571","0.1935483870967742","0.771774193548387","0.272274325908558"
"zookeeper","10","0.10675826","0.066086955","0.16230367","Naive Bayes","No","yes","no","10.0","3.0","157.0","21.0","0.7692307692307693","0.3225806451612903","0.8620967741935484","0.3966833377204526"
"zookeeper","10","0.10675826","0.066086955","0.16230367","IBk","No","yes","no","4.0","0.0","160.0","27.0","1.0","0.12903225806451613","0.7923387096774194","0.1988503961472737"
"zookeeper","10","0.10675826","0.066086955","0.16230367","Random Forest","No","no","yes","1.0","1.0","159.0","30.0","0.5","0.03225806451612903","0.7","0.04175432917947858"
"zookeeper","10","0.10675826","0.066086955","0.16230367","Naive Bayes","No","no","yes","4.0","2.0","158.0","27.0","0.6666666666666666","0.12903225806451613","0.8637096774193549","0.17266616878267346"
"zookeeper","10","0.10675826","0.066086955","0.16230367","IBk","No","no","yes","9.0","2.0","158.0","22.0","0.8181818181818182","0.2903225806451613","0.8098790322580646","0.37547683923705727"
"zookeeper","10","0.10675826","0.066086955","0.16230367","Random Forest","No","yes","yes","1.0","0.0","160.0","30.0","1.0","0.03225806451612903","0.7280241935483871","0.052892561983470615"
"zookeeper","10","0.10675826","0.066086955","0.16230367","Naive Bayes","No","yes","yes","3.0","2.0","158.0","28.0","0.6","0.0967741935483871","0.8620967741935484","0.12732257081937212"
"zookeeper","10","0.10675826","0.066086955","0.16230367","IBk","No","yes","yes","4.0","0.0","160.0","27.0","1.0","0.12903225806451613","0.7923387096774194","0.1988503961472737"
"zookeeper","11","0.11857903","0.0756785","0.05235602","Random Forest","No","no","no","6.0","7.0","174.0","4.0","0.46153846153846156","0.6","0.8900552486187845","0.4916525526252119"
"zookeeper","11","0.11857903","0.0756785","0.05235602","Naive Bayes","No","no","no","5.0","14.0","167.0","5.0","0.2631578947368421","0.5","0.7870165745856353","0.2965691025392512"
"zookeeper","11","0.11857903","0.0756785","0.05235602","IBk","No","no","no","6.0","7.0","174.0","4.0","0.46153846153846156","0.6","0.8837016574585635","0.4916525526252119"
"zookeeper","11","0.11857903","0.0756785","0.05235602","Random Forest","No","yes","no","6.0","6.0","175.0","4.0","0.5","0.6","0.8939226519337017","0.5179202423018671"
"zookeeper","11","0.11857903","0.0756785","0.05235602","Naive Bayes","No","yes","no","2.0","6.0","175.0","8.0","0.25","0.2","0.8005524861878454","0.18425869432580905"
"zookeeper","11","0.11857903","0.0756785","0.05235602","IBk","No","yes","no","6.0","6.0","175.0","4.0","0.5","0.6","0.9066298342541437","0.5179202423018671"
"zookeeper","11","0.11857903","0.0756785","0.05235602","Random Forest","No","no","yes","1.0","0.0","181.0","9.0","1.0","0.1","0.8707182320441988","0.17395482940893867"
"zookeeper","11","0.11857903","0.0756785","0.05235602","Naive Bayes","No","no","yes","2.0","5.0","176.0","8.0","0.2857142857142857","0.2","0.7870165745856353","0.20083682008368223"
"zookeeper","11","0.11857903","0.0756785","0.05235602","IBk","No","no","yes","6.0","6.0","175.0","4.0","0.5","0.6","0.8837016574585635","0.5179202423018671"
"zookeeper","11","0.11857903","0.0756785","0.05235602","Random Forest","No","yes","yes","1.0","0.0","181.0","9.0","1.0","0.1","0.8649171270718232","0.17395482940893867"
"zookeeper","11","0.11857903","0.0756785","0.05235602","Naive Bayes","No","yes","yes","2.0","3.0","178.0","8.0","0.4","0.2","0.8005524861878454","0.24014466546112076"
"zookeeper","11","0.11857903","0.0756785","0.05235602","IBk","No","yes","yes","6.0","3.0","178.0","4.0","0.6666666666666666","0.6","0.9066298342541437","0.6123514062046972"
"zookeeper","12","0.13039981","0.073564306","0.02617801","Random Forest","No","no","no","1.0","1.0","185.0","4.0","0.5","0.2","0.956989247311828","0.27486712224753335"
"zookeeper","12","0.13039981","0.073564306","0.02617801","Naive Bayes","No","no","no","0.0","35.0","151.0","5.0","0.0","0.0","0.31290322580645163","-0.04801097393690008"
"zookeeper","12","0.13039981","0.073564306","0.02617801","IBk","No","no","no","4.0","10.0","176.0","1.0","0.2857142857142857","0.8","0.921505376344086","0.3978217254227575"
"zookeeper","12","0.13039981","0.073564306","0.02617801","Random Forest","No","yes","no","4.0","7.0","179.0","1.0","0.36363636363636365","0.8","0.9736559139784946","0.481330617786829"
"zookeeper","12","0.13039981","0.073564306","0.02617801","Naive Bayes","No","yes","no","0.0","8.0","178.0","5.0","0.0","0.0","0.8494623655913979","-0.0332917186849768"
"zookeeper","12","0.13039981","0.073564306","0.02617801","IBk","No","yes","no","4.0","0.0","186.0","1.0","1.0","0.8","0.9725806451612903","0.8862418106015495"
"zookeeper","12","0.13039981","0.073564306","0.02617801","Random Forest","No","no","yes","1.0","0.0","186.0","4.0","1.0","0.2","0.95","0.32746478873239354"
"zookeeper","12","0.13039981","0.073564306","0.02617801","Naive Bayes","No","no","yes","0.0","24.0","162.0","5.0","0.0","0.0","0.31290322580645163","-0.0452915644461215"
"zookeeper","12","0.13039981","0.073564306","0.02617801","IBk","No","no","yes","4.0","10.0","176.0","1.0","0.2857142857142857","0.8","0.921505376344086","0.3978217254227575"
"zookeeper","12","0.13039981","0.073564306","0.02617801","Random Forest","No","yes","yes","1.0","0.0","186.0","4.0","1.0","0.2","0.9758064516129032","0.32746478873239354"
"zookeeper","12","0.13039981","0.073564306","0.02617801","Naive Bayes","No","yes","yes","0.0","5.0","181.0","5.0","0.0","0.0","0.8494623655913979","-0.026881720430109213"
"zookeeper","12","0.13039981","0.073564306","0.02617801","IBk","No","yes","yes","4.0","0.0","186.0","1.0","1.0","0.8","0.9725806451612903","0.8862418106015495"
"zookeeper","13","0.14222057","0.069625765","0.15062761","Random Forest","No","no","no","5.0","7.0","196.0","31.0","0.4166666666666667","0.1388888888888889","0.8258073344280241","0.14385369532428374"
"zookeeper","13","0.14222057","0.069625765","0.15062761","Naive Bayes","No","no","no","13.0","2.0","201.0","23.0","0.8666666666666667","0.3611111111111111","0.8032977558839628","0.462147808083536"
"zookeeper","13","0.14222057","0.069625765","0.15062761","IBk","No","no","no","8.0","7.0","196.0","28.0","0.5333333333333333","0.2222222222222222","0.7936507936507936","0.24700693131695045"
"zookeeper","13","0.14222057","0.069625765","0.15062761","Random Forest","No","yes","no","4.0","8.0","195.0","32.0","0.3333333333333333","0.1111111111111111","0.7440476190476191","0.09879336349924592"
"zookeeper","13","0.14222057","0.069625765","0.15062761","Naive Bayes","No","yes","no","6.0","3.0","200.0","30.0","0.6666666666666666","0.16666666666666666","0.8449644225506294","0.21964974769961412"
"zookeeper","13","0.14222057","0.069625765","0.15062761","IBk","No","yes","no","3.0","8.0","195.0","33.0","0.2727272727272727","0.08333333333333333","0.7824302134646962","0.06148836318360316"
"zookeeper","13","0.14222057","0.069625765","0.15062761","Random Forest","No","no","yes","1.0","2.0","201.0","35.0","0.3333333333333333","0.027777777777777776","0.7692255062944718","0.028775398132893863"
"zookeeper","13","0.14222057","0.069625765","0.15062761","Naive Bayes","No","no","yes","5.0","2.0","201.0","31.0","0.7142857142857143","0.1388888888888889","0.8032977558839628","0.1929806610048092"
"zookeeper","13","0.14222057","0.069625765","0.15062761","IBk","No","no","yes","6.0","7.0","196.0","30.0","0.46153846153846156","0.16666666666666666","0.7936507936507936","0.17930394431554492"
"zookeeper","13","0.14222057","0.069625765","0.15062761","Random Forest","No","yes","yes","2.0","6.0","197.0","34.0","0.25","0.05555555555555555","0.7163382594417077","0.038229376257545446"
"zookeeper","13","0.14222057","0.069625765","0.15062761","Naive Bayes","No","yes","yes","2.0","2.0","201.0","34.0","0.5","0.05555555555555555","0.8449644225506294","0.07204486626402126"
